StartTimeUtc,EndTimeUtc,DurationMs,CommandKind,CommandId,CommandText,Parameters
"2026-09-10T04:28:56.4684825Z","2026-09-10T04:28:56.4956747Z","27","Reader","89e45fa3-fe88-4399-b9ec-5defb1a6b7a8","SELECT t.fpsyear, t.active, t.createdby, t.createdon, t.fpsyearcode, t.remarks, t.yearstatus
FROM fps.tblyearmaster AS t
WHERE lower(t.yearstatus) = 'open' AND t.active
ORDER BY t.fpsyear DESC
LIMIT 1",""
"2026-09-10T04:28:58.5165572Z","2026-09-10T04:28:58.5247717Z","8","Reader","1b29963b-7750-4ce1-b23e-1668c2949975","SELECT count(*)::int
FROM mabarchive.tblproject AS t",""
"2026-09-10T04:28:58.5607618Z","2026-09-10T04:28:58.5746648Z","13","Reader","1af85deb-9e80-4213-932f-8f1a5db57ac7","SELECT t.project, t.contract_number, t.contractprice, t.customer_name, t.date_of_submission, t.disease, t.euroconvrate, t.financialyears, t.inflation, t.isdefraproject, t.notes, t.plancat, t.prepared_by, t.programme, t.projecttitle, t.projectworkgroup, t.startdate, t.startfyear, t.submittedbyfname, t.submittedbylname
FROM mabarchive.tblproject AS t
ORDER BY t.project DESC
LIMIT @p1 OFFSET @p","@p1=10; @p=0"
"2026-09-10T04:30:16.9218343Z","2026-09-10T04:30:16.9340116Z","12","Reader","5f64c4bf-b740-4548-bb3b-cd4ee2747701","SELECT t.fpsyear, t.active, t.createdby, t.createdon, t.fpsyearcode, t.remarks, t.yearstatus
FROM fps.tblyearmaster AS t
WHERE lower(t.yearstatus) = 'open' AND t.active
ORDER BY t.fpsyear DESC
LIMIT 1",""
"2026-09-10T04:30:18.8134484Z","2026-09-10T04:30:18.8190845Z","5","Reader","a39e91fd-da5b-4f44-b80f-a43ce9691815","SELECT count(*)::int
FROM mabarchive.tblproject AS t",""
"2026-09-10T04:30:18.8542187Z","2026-09-10T04:30:18.8618451Z","7","Reader","c0d82e98-2b9d-4942-a19c-15de7072339a","SELECT t.project, t.contract_number, t.contractprice, t.customer_name, t.date_of_submission, t.disease, t.euroconvrate, t.financialyears, t.inflation, t.isdefraproject, t.notes, t.plancat, t.prepared_by, t.programme, t.projecttitle, t.projectworkgroup, t.startdate, t.startfyear, t.submittedbyfname, t.submittedbylname
FROM mabarchive.tblproject AS t
ORDER BY t.project DESC
LIMIT @p1 OFFSET @p","@p1=10; @p=0"
"2026-09-10T04:30:55.8512474Z","2026-09-10T04:30:55.8562356Z","4","Reader","c14ba46b-fc44-47a6-b947-7dad75a9230c","SELECT t.fpsyear, t.active, t.createdby, t.createdon, t.fpsyearcode, t.remarks, t.yearstatus
FROM fps.tblyearmaster AS t
WHERE lower(t.yearstatus) = 'open' AND t.active
ORDER BY t.fpsyear DESC
LIMIT 1",""
"2026-09-10T04:30:55.9067070Z","2026-09-10T04:30:55.9114901Z","4","Reader","e60589e9-1443-41c7-aa9c-49f807166992","SELECT t.project, t.contract_number, t.contractprice, t.customer_name, t.date_of_submission, t.disease, t.euroconvrate, t.financialyears, t.inflation, t.isdefraproject, t.notes, t.plancat, t.prepared_by, t.programme, t.projecttitle, t.projectworkgroup, t.startdate, t.startfyear, t.submittedbyfname, t.submittedbylname
FROM mabarchive.tblproject AS t
WHERE t.project = @decodedId
LIMIT 1","@decodedId=2026/001"
"2026-09-10T04:30:56.1598184Z","2026-09-10T04:30:56.1646722Z","4","Reader","64e18607-e011-412e-89d6-0bf30fa16f12","SELECT t.fpsyear, t.active, t.createdby, t.createdon, t.fpsyearcode, t.remarks, t.yearstatus
FROM fps.tblyearmaster AS t
WHERE lower(t.yearstatus) = 'open' AND t.active
ORDER BY t.fpsyear DESC
LIMIT 1",""
"2026-09-10T04:30:56.2161070Z","2026-09-10T04:30:56.2227120Z","6","Reader","c3900e8f-ced5-4265-bec1-33cfe47fc53e","SELECT t.programno, t.fpsyear, t.customer, t.directorate, t.manager, t.minim, t.programname, t.sector_name, t.target
FROM fps.tlkpprogram AS t
WHERE t.fpsyear = @ef_filter__FPSYear
ORDER BY t.programno","@ef_filter__FPSYear=2025"
